IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.65.64.62,4,4,0.00,1.78,0.00
172.65.235.7,4,4,0.00,1.80,0.00
172.65.201.128,4,4,0.00,1.80,0.00
104.21.127.41,4,4,0.00,1.82,0.00
172.65.35.227,4,4,0.00,1.84,0.00
104.24.58.82,4,4,0.00,1.84,0.00
172.67.104.4,4,4,0.00,1.86,0.00
162.159.151.29,4,4,0.00,1.86,0.00
172.65.31.31,4,4,0.00,1.86,0.00
172.67.131.230,4,4,0.00,1.86,0.00
162.159.155.136,4,4,0.00,1.87,0.00
104.27.192.86,4,4,0.00,1.88,0.00
172.65.250.228,4,4,0.00,1.89,0.00
172.65.216.144,4,4,0.00,1.89,0.00
104.27.200.157,4,4,0.00,1.89,0.00
172.65.77.185,4,4,0.00,1.90,0.00
104.21.34.101,4,4,0.00,1.90,0.00
172.65.162.245,4,4,0.00,1.91,0.00
172.67.92.76,4,4,0.00,1.92,0.00
172.65.254.110,4,4,0.00,1.92,0.00
172.67.106.98,4,4,0.00,1.94,0.00
172.65.57.238,4,4,0.00,1.94,0.00
172.65.114.78,4,4,0.00,1.94,0.00
104.27.206.251,4,4,0.00,1.95,0.00
104.21.95.82,4,4,0.00,1.95,0.00
162.159.158.162,4,4,0.00,1.95,0.00
172.67.110.21,4,4,0.00,1.96,0.00
172.65.237.15,4,4,0.00,1.96,0.00
172.65.232.57,4,4,0.00,1.96,0.00
104.27.201.154,4,4,0.00,1.96,0.00
172.67.137.221,4,4,0.00,1.97,0.00
104.24.72.34,4,4,0.00,1.97,0.00
172.64.72.126,4,4,0.00,1.98,0.00
172.65.151.170,4,4,0.00,1.99,0.00
172.65.202.172,4,4,0.00,2.00,0.00
172.65.53.51,4,4,0.00,2.00,0.00
172.65.135.115,4,4,0.00,2.00,0.00
172.65.118.229,4,4,0.00,2.01,0.00
172.65.247.131,4,4,0.00,2.01,0.00
172.65.161.220,4,4,0.00,2.02,0.00
172.65.206.217,4,4,0.00,2.02,0.00
172.65.115.117,4,4,0.00,2.03,0.00
172.65.59.36,4,4,0.00,2.03,0.00
104.24.24.96,4,4,0.00,2.03,0.00
172.65.44.46,4,4,0.00,2.03,0.00
172.65.41.240,4,4,0.00,2.03,0.00
172.65.251.17,4,4,0.00,2.03,0.00
172.65.241.137,4,4,0.00,2.03,0.00
172.65.76.120,4,4,0.00,2.04,0.00
104.24.51.185,4,4,0.00,2.05,0.00
104.24.56.212,4,4,0.00,2.05,0.00
172.65.239.82,4,4,0.00,2.05,0.00
172.65.136.156,4,4,0.00,2.06,0.00
172.65.37.82,4,4,0.00,2.06,0.00
172.65.43.173,4,4,0.00,2.07,0.00
172.67.107.192,4,4,0.00,2.07,0.00
172.67.126.35,4,4,0.00,2.07,0.00
172.65.160.78,4,4,0.00,2.07,0.00
172.67.121.58,4,4,0.00,2.07,0.00
172.65.217.100,4,4,0.00,2.07,0.00
172.65.147.221,4,4,0.00,2.07,0.00
172.66.3.209,4,4,0.00,2.08,0.00
104.24.65.148,4,4,0.00,2.08,0.00
172.67.117.93,4,4,0.00,2.08,0.00
172.65.208.217,4,4,0.00,2.08,0.00
172.65.50.30,4,4,0.00,2.08,0.00
172.67.123.142,4,4,0.00,2.08,0.00
172.65.213.149,4,4,0.00,2.08,0.00
172.65.112.68,4,4,0.00,2.08,0.00
172.65.204.177,4,4,0.00,2.09,0.00
172.65.63.242,4,4,0.00,2.09,0.00
104.24.28.204,4,4,0.00,2.09,0.00
104.21.90.183,4,4,0.00,2.09,0.00
104.24.62.41,4,4,0.00,2.09,0.00
172.65.220.95,4,4,0.00,2.10,0.00
172.67.97.209,4,4,0.00,2.10,0.00
172.65.75.229,4,4,0.00,2.10,0.00
172.66.157.237,4,4,0.00,2.11,0.00
104.24.48.167,4,4,0.00,2.11,0.00
104.21.125.15,4,4,0.00,2.11,0.00
104.21.29.92,4,4,0.00,2.11,0.00
104.24.71.225,4,4,0.00,2.11,0.00
162.159.146.224,4,4,0.00,2.11,0.00
104.21.114.246,4,4,0.00,2.12,0.00
104.21.32.118,4,4,0.00,2.12,0.00
172.65.205.56,4,4,0.00,2.12,0.00
172.65.116.192,4,4,0.00,2.12,0.00
172.65.169.189,4,4,0.00,2.12,0.00
172.65.154.219,4,4,0.00,2.13,0.00
172.65.49.66,4,4,0.00,2.13,0.00
172.65.221.114,4,4,0.00,2.13,0.00
172.65.129.5,4,4,0.00,2.13,0.00
172.67.114.41,4,4,0.00,2.13,0.00
172.67.125.12,4,4,0.00,2.13,0.00
172.65.62.204,4,4,0.00,2.13,0.00
104.24.54.176,4,4,0.00,2.13,0.00
172.67.139.141,4,4,0.00,2.13,0.00
104.24.46.30,4,4,0.00,2.14,0.00
104.21.17.85,4,4,0.00,2.14,0.00
172.65.73.235,4,4,0.00,2.14,0.00
172.67.132.56,4,4,0.00,2.14,0.00
172.65.253.102,4,4,0.00,2.14,0.00
172.67.98.207,4,4,0.00,2.15,0.00
172.67.130.154,4,4,0.00,2.15,0.00
172.65.143.208,4,4,0.00,2.15,0.00
172.65.121.82,4,4,0.00,2.15,0.00
104.21.115.251,4,4,0.00,2.15,0.00
172.65.150.32,4,4,0.00,2.15,0.00
104.21.15.51,4,4,0.00,2.16,0.00
104.24.73.131,4,4,0.00,2.16,0.00
172.64.46.112,4,4,0.00,2.16,0.00
172.65.255.187,4,4,0.00,2.16,0.00
104.24.23.16,4,4,0.00,2.16,0.00
172.66.163.82,4,4,0.00,2.17,0.00
172.65.146.119,4,4,0.00,2.17,0.00
104.21.24.183,4,4,0.00,2.17,0.00
172.65.122.131,4,4,0.00,2.17,0.00
172.67.93.60,4,4,0.00,2.17,0.00
172.65.125.68,4,4,0.00,2.17,0.00
172.65.245.193,4,4,0.00,2.17,0.00
172.65.163.179,4,4,0.00,2.17,0.00
172.65.211.97,4,4,0.00,2.17,0.00
172.67.88.251,4,4,0.00,2.17,0.00
172.67.101.113,4,4,0.00,2.18,0.00
172.65.46.217,4,4,0.00,2.18,0.00
172.65.54.93,4,4,0.00,2.18,0.00
172.65.36.73,4,4,0.00,2.18,0.00
104.24.94.107,4,4,0.00,2.18,0.00
172.65.158.247,4,4,0.00,2.18,0.00
172.65.51.18,4,4,0.00,2.18,0.00
162.159.130.85,4,4,0.00,2.18,0.00
172.65.48.232,4,4,0.00,2.18,0.00
172.67.115.70,4,4,0.00,2.18,0.00
172.67.138.247,4,4,0.00,2.19,0.00
172.67.100.84,4,4,0.00,2.19,0.00
172.67.129.110,4,4,0.00,2.19,0.00
104.24.27.165,4,4,0.00,2.19,0.00
172.65.199.34,4,4,0.00,2.19,0.00
104.21.10.81,4,4,0.00,2.19,0.00
104.21.79.107,4,4,0.00,2.19,0.00
104.21.116.102,4,4,0.00,2.20,0.00
172.65.137.159,4,4,0.00,2.20,0.00
162.159.141.108,4,4,0.00,2.20,0.00
172.65.212.189,4,4,0.00,2.20,0.00
172.65.207.160,4,4,0.00,2.20,0.00
104.21.105.205,4,4,0.00,2.20,0.00
172.65.71.219,4,4,0.00,2.20,0.00
172.65.233.217,4,4,0.00,2.20,0.00
172.65.42.42,4,4,0.00,2.20,0.00
104.24.57.96,4,4,0.00,2.21,0.00
104.27.196.206,4,4,0.00,2.21,0.00
162.159.157.153,4,4,0.00,2.21,0.00
172.64.49.101,4,4,0.00,2.21,0.00
172.65.58.89,4,4,0.00,2.21,0.00
172.65.222.148,4,4,0.00,2.21,0.00
104.21.104.22,4,4,0.00,2.21,0.00
172.67.111.43,4,4,0.00,2.21,0.00
104.24.68.219,4,4,0.00,2.21,0.00
104.21.89.130,4,4,0.00,2.22,0.00
104.21.82.161,4,4,0.00,2.22,0.00
162.159.137.124,4,4,0.00,2.22,0.00
172.65.226.143,4,4,0.00,2.22,0.00
172.65.134.156,4,4,0.00,2.22,0.00
172.65.236.225,4,4,0.00,2.22,0.00
104.21.101.62,4,4,0.00,2.22,0.00
172.67.142.221,4,4,0.00,2.22,0.00
172.67.247.114,4,4,0.00,2.22,0.00
172.65.231.64,4,4,0.00,2.23,0.00
172.65.139.39,4,4,0.00,2.23,0.00
104.21.113.118,4,4,0.00,2.23,0.00
104.21.12.142,4,4,0.00,2.23,0.00
104.21.94.49,4,4,0.00,2.23,0.00
172.67.99.254,4,4,0.00,2.23,0.00
104.21.14.203,4,4,0.00,2.24,0.00
172.65.157.94,4,4,0.00,2.24,0.00
104.24.44.15,4,4,0.00,2.24,0.00
172.67.145.90,4,4,0.00,2.24,0.00
172.65.214.126,4,4,0.00,2.24,0.00
172.67.128.174,4,4,0.00,2.24,0.00
172.65.218.219,4,4,0.00,2.25,0.00
172.65.156.202,4,4,0.00,2.25,0.00
172.65.140.180,4,4,0.00,2.25,0.00
104.24.90.33,4,4,0.00,2.25,0.00
104.27.194.154,4,4,0.00,2.26,0.00
172.65.142.156,4,4,0.00,2.26,0.00
104.21.112.128,4,4,0.00,2.26,0.00
172.65.69.46,4,4,0.00,2.26,0.00
104.21.83.44,4,4,0.00,2.27,0.00
172.65.113.120,4,4,0.00,2.27,0.00
104.21.8.44,4,4,0.00,2.27,0.00
172.67.250.74,4,4,0.00,2.27,0.00
172.65.33.65,4,4,0.00,2.27,0.00
104.24.63.188,4,4,0.00,2.27,0.00
172.65.45.240,4,4,0.00,2.28,0.00
172.65.246.170,4,4,0.00,2.28,0.00
104.24.69.172,4,4,0.00,2.28,0.00
104.21.99.47,4,4,0.00,2.28,0.00
172.65.111.165,4,4,0.00,2.28,0.00
104.24.89.80,4,4,0.00,2.28,0.00
172.65.68.23,4,4,0.00,2.28,0.00
104.24.158.231,4,4,0.00,2.28,0.00
104.21.119.241,4,4,0.00,2.28,0.00
172.64.230.117,4,4,0.00,2.28,0.00
172.67.252.203,4,4,0.00,2.29,0.00
172.65.243.167,4,4,0.00,2.29,0.00
172.65.131.198,4,4,0.00,2.29,0.00
172.67.113.230,4,4,0.00,2.29,0.00
172.67.116.3,4,4,0.00,2.29,0.00
172.67.91.94,4,4,0.00,2.29,0.00
172.65.219.209,4,4,0.00,2.29,0.00
172.67.141.235,4,4,0.00,2.29,0.00
172.65.238.171,4,4,0.00,2.29,0.00
172.65.197.119,4,4,0.00,2.29,0.00
104.24.53.192,4,4,0.00,2.29,0.00
172.67.255.195,4,4,0.00,2.29,0.00
172.65.40.202,4,4,0.00,2.29,0.00
172.65.164.241,4,4,0.00,2.30,0.00
172.65.117.8,4,4,0.00,2.30,0.00
104.24.47.158,4,4,0.00,2.30,0.00
172.67.251.85,4,4,0.00,2.30,0.00
172.65.27.79,4,4,0.00,2.31,0.00
104.21.120.244,4,4,0.00,2.31,0.00
104.24.74.107,4,4,0.00,2.31,0.00
162.159.135.92,4,4,0.00,2.31,0.00
172.67.83.126,4,4,0.00,2.31,0.00
104.24.76.43,4,4,0.00,2.32,0.00
104.27.207.130,4,4,0.00,2.32,0.00
172.67.120.221,4,4,0.00,2.32,0.00
104.21.22.5,4,4,0.00,2.32,0.00
162.159.132.80,4,4,0.00,2.32,0.00
104.21.91.26,4,4,0.00,2.32,0.00
104.21.107.101,4,4,0.00,2.33,0.00
172.67.134.234,4,4,0.00,2.33,0.00
172.65.224.11,4,4,0.00,2.33,0.00
104.21.111.58,4,4,0.00,2.33,0.00
162.159.147.226,4,4,0.00,2.33,0.00
104.21.20.247,4,4,0.00,2.33,0.00
104.24.64.111,4,4,0.00,2.33,0.00
104.24.93.216,4,4,0.00,2.34,0.00
104.21.117.197,4,4,0.00,2.34,0.00
172.66.152.36,4,4,0.00,2.34,0.00
172.66.0.7,4,4,0.00,2.34,0.00
172.65.130.177,4,4,0.00,2.34,0.00
172.65.132.58,4,4,0.00,2.34,0.00
172.66.172.72,4,4,0.00,2.34,0.00
104.27.195.97,4,4,0.00,2.34,0.00
172.65.167.58,4,4,0.00,2.35,0.00
162.159.143.104,4,4,0.00,2.35,0.00
172.65.248.190,4,4,0.00,2.35,0.00
104.27.199.65,4,4,0.00,2.35,0.00
162.159.154.51,4,4,0.00,2.35,0.00
104.21.93.208,4,4,0.00,2.35,0.00
172.65.166.11,4,4,0.00,2.35,0.00
104.21.9.219,4,4,0.00,2.35,0.00
104.24.142.23,4,4,0.00,2.35,0.00
162.159.140.166,4,4,0.00,2.36,0.00
172.65.155.202,4,4,0.00,2.36,0.00
172.65.209.79,4,4,0.00,2.36,0.00
172.67.80.20,4,4,0.00,2.36,0.00
104.27.203.135,4,4,0.00,2.36,0.00
104.24.92.28,4,4,0.00,2.36,0.00
172.64.98.225,4,4,0.00,2.36,0.00
172.67.144.35,4,4,0.00,2.36,0.00
162.159.142.136,4,4,0.00,2.37,0.00
104.21.21.202,4,4,0.00,2.37,0.00
104.27.204.210,4,4,0.00,2.37,0.00
104.24.95.15,4,4,0.00,2.37,0.00
104.24.70.212,4,4,0.00,2.37,0.00
172.67.102.189,4,4,0.00,2.37,0.00
104.21.100.149,4,4,0.00,2.37,0.00
172.67.127.60,4,4,0.00,2.37,0.00
104.24.49.110,4,4,0.00,2.37,0.00
162.159.145.210,4,4,0.00,2.37,0.00
104.21.39.100,4,4,0.00,2.37,0.00
162.159.128.105,4,4,0.00,2.37,0.00
104.21.19.20,4,4,0.00,2.37,0.00
162.159.148.141,4,4,0.00,2.38,0.00
162.159.149.114,4,4,0.00,2.38,0.00
172.66.2.163,4,4,0.00,2.38,0.00
104.21.106.98,4,4,0.00,2.38,0.00
172.65.126.47,4,4,0.00,2.38,0.00
172.65.106.20,4,4,0.00,2.38,0.00
172.65.119.121,4,4,0.00,2.38,0.00
172.65.74.167,4,4,0.00,2.38,0.00
104.21.16.87,4,4,0.00,2.39,0.00
172.67.133.200,4,4,0.00,2.39,0.00
104.21.63.44,4,4,0.00,2.39,0.00
104.24.80.30,4,4,0.00,2.39,0.00
172.67.94.20,4,4,0.00,2.39,0.00
104.21.108.167,4,4,0.00,2.39,0.00
104.24.55.23,4,4,0.00,2.39,0.00
104.21.122.220,4,4,0.00,2.39,0.00
104.24.91.157,4,4,0.00,2.39,0.00
172.65.138.181,4,4,0.00,2.39,0.00
172.66.160.197,4,4,0.00,2.39,0.00
104.21.23.169,4,4,0.00,2.40,0.00
172.65.203.242,4,4,0.00,2.40,0.00
172.66.174.183,4,4,0.00,2.41,0.00
172.67.146.86,4,4,0.00,2.41,0.00
172.65.227.231,4,4,0.00,2.41,0.00
172.67.85.161,4,4,0.00,2.41,0.00
172.67.86.117,4,4,0.00,2.42,0.00
162.159.136.174,4,4,0.00,2.42,0.00
172.66.164.182,4,4,0.00,2.42,0.00
172.67.109.21,4,4,0.00,2.42,0.00
104.21.31.127,4,4,0.00,2.42,0.00
172.65.210.101,4,4,0.00,2.42,0.00
104.21.18.190,4,4,0.00,2.42,0.00
172.67.119.179,4,4,0.00,2.42,0.00
104.24.67.227,4,4,0.00,2.42,0.00
172.67.254.71,4,4,0.00,2.42,0.00
172.65.152.149,4,4,0.00,2.42,0.00
172.65.228.233,4,4,0.00,2.43,0.00
104.24.45.83,4,4,0.00,2.43,0.00
172.67.84.9,4,4,0.00,2.43,0.00
172.66.149.116,4,4,0.00,2.43,0.00
172.65.225.165,4,4,0.00,2.43,0.00
172.65.56.3,4,4,0.00,2.43,0.00
172.67.96.43,4,4,0.00,2.43,0.00
162.159.153.218,4,4,0.00,2.44,0.00
172.67.124.23,4,4,0.00,2.44,0.00
172.65.120.132,4,4,0.00,2.44,0.00
172.65.34.197,4,4,0.00,2.44,0.00
172.67.159.116,4,4,0.00,2.44,0.00
172.65.32.123,4,4,0.00,2.45,0.00
172.66.1.106,4,4,0.00,2.45,0.00
104.21.81.177,4,4,0.00,2.45,0.00
172.65.145.44,4,4,0.00,2.45,0.00
172.66.158.42,4,4,0.00,2.45,0.00
104.21.27.95,4,4,0.00,2.46,0.00
172.67.155.152,4,4,0.00,2.46,0.00
162.159.129.160,4,4,0.00,2.46,0.00
172.67.112.251,4,4,0.00,2.46,0.00
172.65.30.249,4,4,0.00,2.47,0.00
162.159.150.209,4,4,0.00,2.47,0.00
104.21.88.186,4,4,0.00,2.47,0.00
104.21.48.141,4,4,0.00,2.47,0.00
172.67.140.154,4,4,0.00,2.47,0.00
162.159.134.23,4,4,0.00,2.47,0.00
172.65.195.193,4,4,0.00,2.47,0.00
172.65.47.186,4,4,0.00,2.48,0.00
104.24.5.221,4,4,0.00,2.48,0.00
172.65.159.126,4,4,0.00,2.48,0.00
172.65.144.66,4,4,0.00,2.48,0.00
172.65.198.120,4,4,0.00,2.49,0.00
104.27.198.1,4,4,0.00,2.49,0.00
104.21.11.66,4,4,0.00,2.49,0.00
172.67.87.230,4,4,0.00,2.49,0.00
172.65.61.39,4,4,0.00,2.49,0.00
172.65.215.129,4,4,0.00,2.49,0.00
172.67.90.153,4,4,0.00,2.49,0.00
172.65.67.140,4,4,0.00,2.49,0.00
104.21.123.40,4,4,0.00,2.50,0.00
172.67.248.1,4,4,0.00,2.50,0.00
104.24.50.71,4,4,0.00,2.50,0.00
172.67.108.141,4,4,0.00,2.50,0.00
172.64.68.215,4,4,0.00,2.50,0.00
162.159.152.8,4,4,0.00,2.50,0.00
162.159.159.213,4,4,0.00,2.50,0.00
104.24.66.201,4,4,0.00,2.50,0.00
172.65.52.145,4,4,0.00,2.50,0.00
172.65.244.99,4,4,0.00,2.50,0.00
172.65.128.100,4,4,0.00,2.50,0.00
172.65.65.69,4,4,0.00,2.50,0.00
172.66.166.167,4,4,0.00,2.50,0.00
172.65.223.53,4,4,0.00,2.50,0.00
104.21.121.163,4,4,0.00,2.51,0.00
172.65.110.105,4,4,0.00,2.51,0.00
104.21.30.123,4,4,0.00,2.51,0.00
172.67.82.154,4,4,0.00,2.51,0.00
104.24.78.146,4,4,0.00,2.51,0.00
172.65.234.208,4,4,0.00,2.52,0.00
172.67.245.173,4,4,0.00,2.52,0.00
172.67.103.74,4,4,0.00,2.52,0.00
162.159.144.214,4,4,0.00,2.52,0.00
172.67.249.51,4,4,0.00,2.52,0.00
172.67.236.16,4,4,0.00,2.53,0.00
172.65.229.42,4,4,0.00,2.53,0.00
172.66.168.42,4,4,0.00,2.53,0.00
172.65.123.39,4,4,0.00,2.53,0.00
172.67.135.187,4,4,0.00,2.53,0.00
172.66.167.119,4,4,0.00,2.53,0.00
104.24.151.38,4,4,0.00,2.53,0.00
172.66.175.48,4,4,0.00,2.53,0.00
104.21.43.158,4,4,0.00,2.54,0.00
172.65.230.72,4,4,0.00,2.54,0.00
172.65.109.105,4,4,0.00,2.54,0.00
104.21.69.74,4,4,0.00,2.54,0.00
172.64.42.75,4,4,0.00,2.54,0.00
104.21.85.83,4,4,0.00,2.54,0.00
104.24.59.85,4,4,0.00,2.54,0.00
172.67.253.229,4,4,0.00,2.54,0.00
104.21.86.105,4,4,0.00,2.55,0.00
104.21.84.246,4,4,0.00,2.55,0.00
104.21.76.77,4,4,0.00,2.55,0.00
104.27.193.126,4,4,0.00,2.56,0.00
172.67.122.9,4,4,0.00,2.56,0.00
162.159.139.12,4,4,0.00,2.56,0.00
104.24.52.157,4,4,0.00,2.56,0.00
162.159.138.234,4,4,0.00,2.56,0.00
172.65.242.134,4,4,0.00,2.56,0.00
172.65.148.178,4,4,0.00,2.57,0.00
172.65.149.158,4,4,0.00,2.57,0.00
